anime_id,title,score,rank,popularity,members,favorites,episodes,type,duration,status,genres,studios
52198,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,8.71,63.0,708,388417,2344,1.0,Movie,1 hr 36 min,Finished Airing,"Comedy,Drama,Romance",A-1 Pictures
1575,Code Geass: Hangyaku no Lelouch,8.71,62.0,22,2487882,118086,25.0,TV,24 min per ep,Finished Airing,"Award Winning,Drama,Sci-Fi",Sunrise
55016,Idol,8.7,,4837,28096,330,1.0,Music,3 min,Finished Airing,,Doga Kobo
53998,Bleach: Sennen Kessen-hen - Ketsubetsu-tan,8.7,64.0,642,422709,5162,13.0,TV,24 min per ep,Finished Airing,"Action,Adventure,Supernatural",Studio Pierrot
33095,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,8.7,67.0,1394,202943,3249,12.0,TV,24 min per ep,Finished Airing,Drama,Studio Deen
45649,The First Slam Dunk,8.7,68.0,2816,78486,1104,1.0,Movie,2 hr 4 min,Finished Airing,"Award Winning,Sports","Toei Animation,DandeLion Animation Studio"
44074,Shiguang Dailiren,8.7,66.0,542,487009,15043,11.0,ONA,23 min per ep,Finished Airing,"Drama,Mystery,Suspense",LAN Studio
51009,Jujutsu Kaisen 2nd Season,8.7,65.0,105,1424246,26382,23.0,TV,23 min per ep,Finished Airing,"Action,Supernatural",MAPPA
60058,[Oshi no Ko] 3rd Season,8.69,73.0,1010,279943,2256,11.0,TV,27 min per ep,Finished Airing,Drama,Doga Kobo
21939,Mushishi Zoku Shou,8.69,70.0,865,328400,1653,10.0,TV,24 min per ep,Finished Airing,"Adventure,Mystery,Slice of Life,Supernatural",Artland
33352,Violet Evergarden,8.69,72.0,46,2011245,69708,13.0,TV,24 min per ep,Finished Airing,Drama,Kyoto Animation
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.69,71.0,963,293317,6460,4.0,OVA,29 min per ep,Finished Airing,"Action,Drama,Romance",Studio Deen
47778,Kimetsu no Yaiba: Yuukaku-hen,8.69,69.0,70,1757748,25162,11.0,TV,26 min per ep,Finished Airing,"Action,Supernatural",ufotable
55690,Boku no Kokoro no Yabai Yatsu 2nd Season,8.68,74.0,900,316781,6187,13.0,TV,23 min per ep,Finished Airing,"Comedy,Romance",Shin-Ei Animation
245,Great Teacher Onizuka,8.68,75.0,221,926769,28943,43.0,TV,25 min per ep,Finished Airing,Comedy,Studio Pierrot
61930,Uma Musume: Cinderella Gray Part 2,8.67,82.0,3012,69790,731,10.0,TV,23 min per ep,Finished Airing,"Drama,Sports",CygamesPictures
61517,Kingdom 6th Season,8.67,79.0,4078,40616,478,13.0,TV,24 min per ep,Finished Airing,Action,"Studio Pierrot,Studio Signpost"
56784,Bleach: Sennen Kessen-hen - Soukoku-tan,8.67,76.0,923,306130,3779,14.0,TV,24 min per ep,Finished Airing,"Action,Adventure,Supernatural",Pierrot Films
53447,Tu Bian Yingxiong X,8.67,81.0,1098,258170,5430,24.0,ONA,23 min per ep,Finished Airing,Action,"Pb Animation,LAN Studio,Paper Plane Animation Studio,B.COOL STUDIO"
5258,Hajime no Ippo: New Challenger,8.67,77.0,863,328895,1967,26.0,TV,23 min per ep,Finished Airing,Sports,Madhouse
431,Howl no Ugoku Shiro,8.67,78.0,97,1499596,31906,1.0,Movie,1 hr 59 min,Finished Airing,"Adventure,Award Winning,Drama,Fantasy,Romance",Studio Ghibli
164,Mononoke Hime,8.67,80.0,108,1388575,24372,1.0,Movie,2 hr 13 min,Finished Airing,"Action,Adventure,Award Winning,Fantasy",Studio Ghibli
61952,Luo Xiaohei Zhanji 2,8.66,84.0,6634,12664,101,1.0,Movie,1 hr 58 min,Finished Airing,"Adventure,Drama,Fantasy",HMCH
59192,Kimetsu no Yaiba Movie 1: Mugenjou-hen - Akaza Sairai,8.66,83.0,705,391026,3561,1.0,Movie,2 hr 35 min,Finished Airing,"Action,Award Winning,Supernatural",ufotable
457,Mushishi,8.65,86.0,227,911102,28487,26.0,TV,23 min per ep,Finished Airing,"Adventure,Mystery,Slice of Life,Supernatural",Artland
40434,Mo Dao Zu Shi: Wanjie Pian,8.65,85.0,2458,97301,1753,12.0,ONA,24 min per ep,Finished Airing,"Action,Adventure,Drama,Fantasy,Mystery",B.CMAY PICTURES
35760,Shingeki no Kyojin Season 3,8.65,87.0,18,2685442,22589,12.0,TV,23 min per ep,Finished Airing,"Action,Drama,Suspense",Wit Studio
57864,Monogatari Series: Off & Monster Season,8.64,88.0,2333,105291,903,14.0,ONA,25 min per ep,Finished Airing,"Comedy,Mystery,Supernatural",Shaft
57647,Uma Musume: Pretty Derby - Shin Jidai no Tobira,8.64,92.0,3228,61731,1129,1.0,Movie,1 hr 47 min,Finished Airing,Sports,CygamesPictures
2001,Tengen Toppa Gurren Lagann,8.64,90.0,66,1778161,85632,27.0,TV,24 min per ep,Finished Airing,"Adventure,Award Winning,Sci-Fi",Gainax
23273,Shigatsu wa Kimi no Uso,8.64,89.0,24,2440146,90620,22.0,TV,22 min per ep,Finished Airing,"Drama,Romance",A-1 Pictures
50399,Tian Guan Cifu Er,8.64,91.0,3110,65954,1315,12.0,ONA,24 min per ep,Finished Airing,"Action,Adventure,Drama,Fantasy",Red Dog Culture House
33050,Fate/stay night Movie: Heaven's Feel - III. Spring Song,8.63,93.0,664,411680,8555,1.0,Movie,2 hr 2 min,Finished Airing,"Action,Fantasy",ufotable
11665,Natsume Yuujinchou Shi,8.63,94.0,1066,267125,2118,13.0,TV,24 min per ep,Finished Airing,"Slice of Life,Supernatural",Brain's Base
22135,Ping Pong the Animation,8.63,96.0,608,443153,17623,11.0,TV,23 min per ep,Finished Airing,"Award Winning,Drama,Sports",Tatsunoko Production
46102,Odd Taxi,8.63,95.0,509,515178,9229,13.0,TV,23 min per ep,Finished Airing,"Award Winning,Drama,Mystery,Suspense","OLM,P.I.C.S."
58125,Look Back,8.62,100.0,1133,252664,5200,1.0,Movie,57 min,Finished Airing,"Award Winning,Drama",Studio DURIAN
52742,Haikyuu!! Movie: Gomisuteba no Kessen,8.62,99.0,1224,233465,1757,1.0,Movie,1 hr 24 min,Finished Airing,Sports,Production I.G
34599,Made in Abyss,8.62,101.0,90,1562173,48026,13.0,TV,25 min per ep,Finished Airing,"Adventure,Drama,Fantasy,Mystery,Sci-Fi",Kinema Citrus
42310,Cyberpunk: Edgerunners,8.62,97.0,173,1078802,35735,10.0,ONA,25 min per ep,Finished Airing,"Action,Sci-Fi",Trigger
